ORDER_NUMBER,POSITION_NUMBER,NOMENCLATURE,AMOUNT,COST,SUM,VAT
1,1,RC1-2079-000 Бушинг HP LJ 1010/1012/1015/20,1,200,200,30.51
2,1,[Видеокарта] Gigabyte GV-N630-2GI (RTL) {GeForceGT,1,3960,3960,604.07
274,1,"",0,0,0,0
291,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
291,2,RM1-1298 Отделительная площадка HP 1320/1160(ориг),1,600,600,91.53
291,3,RL1-0540/RL1-0542  Ролик под. бумаги LJ 1320,1,550,550,83.9
300,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
301,1,Прошивка Bios (ноутбук),1,2500,2500,381.36
302,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
303,1,"Удаление вирусов, снятие банера",1,1250,1250,190.68
304,1,Ремонт оргтехники (900),1,900,900,137.29
305,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
307,1,Ремонт/настройка  оргтехники (1500),1,1500,1500,228.81
308,1,Переустановка Windows,1,1500,1500,228.81
308,2,NOD32-ASP-NS(BOX)-1-1 ESET NOD32 START PACK - базо,1,860,860,131.19
308,3,Установка антивирусной программы,1,250,250,38.14
308,4,Замена блока питания,1,1200,1200,183.05
309,1,Замена лампы подсветки (1шт),2,1250,2500,381.36
310,1,Прошивка Роутера,1,700,700,106.78
311,1,Мелкий ремонт,1,400,400,61.02
312,1,Замена матрицы(Н001374) N184H6-L02,1,8200,8200,1250.85
314,1,Мелкий ремонт,0,400,0,0
315,1,"",0,0,0,0
317,1,Диагностика,1,400,400,61.02
319,1,Замена чипа ATI AMD Radeon IGP RS780 216-0674024,1,7500,7500,1144.07
320,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
320,2,JC81-01693A Ролик под бум Sam ML 1710 (в сборе),1,550,550,83.9
320,3,JC73-00140A Тормозная площадка (резиновая накладка,1,250,250,38.14
320,4,JC70-00314A Металлическая рамка площадки отделен,1,195,195,29.75
321,1,Профилактика принтера А4 (900),1,700,700,106.78
322,1,Мелкий ремонт,1,400,400,61.02
324,1,Матрица LTD131EQ2X,1,14000,14000,2135.59
328,1,Профилактика  ноутбука (чистка),1,1250,1250,190.68
328,2,[Коробочное программное обеспечение] AHW-A-12M-2-A,1,1350,1350,205.93
328,3,Установка антивирусной программы,1,400,400,61.02
331,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
331,2,Термопленка HP 1200 (1200),1,1350,1350,205.93
334,1,Профилактика принтера скорость более 25 ст/мин,1,900,900,137.29
334,2,Свч барабан Canon FC 310/330/210/230 (Fuji),1,750,750,114.41
337,1,Профилактика принтера А3 (1300),1,1200,1200,183.05
